Название,Адрес,Телефон,Сайт,Рейтинг,Часы работы,Ссылка,lat,lon
Профессорская стоматологическая клиника на Арбате,"Москва, ул. Арбат, 9, стр. 2",+7 (495) 695-88-99,Нет сайта,"5,0",Нет данных,https://yandex.eu/maps/org/dental_clinic/1021875042/,55.75,37.61
Семейная стоматология Михаила Агами,"Москва, Наставнический пер., 17, стр. 1",+7 (495) 445-50-55,Нет сайта,"5,0",Нет данных,https://yandex.eu/maps/org/semeynaya_stomatologiya_mikhaila_agami/240115387660/,55.75,37.61
Стоматология Доктора Яковлевой,"Москва, Вспольный пер., 17",+7 (495) 650-05-68,Нет сайта,"5,0",Нет данных,https://yandex.eu/maps/org/stomatologiya_doktora_yakovlevoy/1339392759/,55.75,37.61
Стоматолог-Эксперт,"Москва, Якиманский пер., 6• этаж 3",+7 (904) 567-97-30,Нет сайта,"5,0",Нет данных,https://yandex.eu/maps/org/dental_clinic_stomatolog_ekspert/1402251284/,55.75,37.61
Первая Профессорская клиника,"Москва, Гагаринский пер., 7",+7 (495) 125-04-74,Нет сайта,"5,0",Нет данных,https://yandex.eu/maps/org/pervaya_professorskaya_stomatologicheskaya_klinika/1026732047/,55.75,37.61
